id,question,answer,company,role,difficulty,category
1,What is the role of statistics in data analysis?,"Statistics is the foundation of data analysis. Key concepts include mean, median, mode, standard deviation, correlation, and hypothesis testing (t-tests, chi-square tests). These help in understanding data distributions and making informed decisions.",TCS,Data Analyst,Medium,Statistics
2,What is the role of business intelligence in data analysis?,"Business Intelligence (BI) involves analyzing historical and current data to help make business decisions. BI tools like Power BI and Tableau visualize trends, KPI tracking, and business forecasts.",Microsoft,Data Analyst,Medium,Business Intelligence
3,What is the role of excel in data analysis?,"Excel is a widely-used spreadsheet tool for data analysis. It includes functions like VLOOKUP, INDEX-MATCH, pivot tables, charts, and conditional formatting. Data analysts use Excel for quick exploration, dashboarding, and basic statistical computations.",Infosys,Data Analyst,Hard,Excel
4,What is the role of data modeling in data analysis?,"Data modeling structures data for databases or analytics. It includes ER diagrams, normalization (1NF to 3NF), and defining relationships (1:1, 1:N, N:M). Helps ensure efficient querying and data integrity.",TCS,Data Analyst,Medium,Data Modeling
5,What is the role of reporting in data analysis?,"Reporting refers to summarizing and presenting data findings using tools like Excel, Tableau, or Power BI. Reports may include KPIs, trends, anomalies, and recommendations. Automated reporting improves decision-making speed.",Microsoft,Data Analyst,Medium,Reporting
6,What is the role of data cleaning in data analysis?,"Data cleaning involves correcting or removing inaccurate records from a dataset. This includes handling missing values, outliers, and inconsistent formats. Tools include Excel, Python (pandas), and SQL. Clean data ensures better analysis and modeling.",Infosys,Data Analyst,Medium,Data Cleaning
7,What is the role of excel in data analysis?,"Excel is a widely-used spreadsheet tool for data analysis. It includes functions like VLOOKUP, INDEX-MATCH, pivot tables, charts, and conditional formatting. Data analysts use Excel for quick exploration, dashboarding, and basic statistical computations.",Infosys,Data Analyst,Easy,Excel
8,What is the role of data modeling in data analysis?,"Data modeling structures data for databases or analytics. It includes ER diagrams, normalization (1NF to 3NF), and defining relationships (1:1, 1:N, N:M). Helps ensure efficient querying and data integrity.",Meta,Data Analyst,Easy,Data Modeling
9,What is the role of a/b testing in data analysis?,"A/B testing compares two versions of a variable to determine which performs better. It involves hypothesis testing, statistical significance (p-values), and confidence intervals. Used widely in product design and marketing campaigns.",Amazon,Data Analyst,Medium,A/B Testing
10,What is the role of python in data analysis?,"Python is a powerful language for data analysis due to libraries like pandas, NumPy, matplotlib, and seaborn. It supports data wrangling, cleaning, visualization, and even basic modeling.",TCS,Data Analyst,Easy,Python
